user,assistant
"Say , Jim , how about going for a few beers after dinner ?",You know that is tempting but is really not good for our fitness .
You know that is tempting but is really not good for our fitness .,What do you mean ? It will help us to relax .
What do you mean ? It will help us to relax .,"t . It will just make us fat and act silly . Remember last time ? 
  I guess you are right.But what shall we do ? I don"
"t . It will just make us fat and act silly . Remember last time ? 
  I guess you are right.But what shall we do ? I don",I suggest a walk over to the gym where we can play singsong and meet some of our friends .
I suggest a walk over to the gym where we can play singsong and meet some of our friends .,s a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them .
s a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them .,Good.Let
Good.Let,All right .
Can you do push-ups ?,"s a piece of cake ! Believe it or not , I can do 30 push-ups a minute . 
  Really ? I think that"
"s a piece of cake ! Believe it or not , I can do 30 push-ups a minute . 
  Really ? I think that",You mean 30 push-ups ?
You mean 30 push-ups ?,Yeah !
Can you study with the radio on ?,"No , I listen to background music ."
"No , I listen to background music .",What is the difference ?
What is the difference ?,The radio has too many comerials .
Are you all right ?,I will be all right soon . I was terrified when I watched them fall from the wire .
I will be all right soon . I was terrified when I watched them fall from the wire .,t worry.He is an acrobat 。
"Hey John , nice skates . Are they new ?","Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates ."
"Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates .",What position do you play ?
What position do you play ?,I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense .
I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense .,"Yeah , you ’ re a pretty big guy . I play goalie , myself ."
"Yeah , you ’ re a pretty big guy . I play goalie , myself .","Oh , yeah ? Which team ?"
"Oh , yeah ? Which team ?",The Rockets .
The Rockets .,"Really ? I think we play you guys next week . Well , I have to go to practice . See you later ."
"Really ? I think we play you guys next week . Well , I have to go to practice . See you later .","All right , see you later ."
"Hey Lydia , what are you reading ?","I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling !"
"I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling !",What are you talking about ? Let me see that ... What are horoscopes ?
What are you talking about ? Let me see that ... What are horoscopes ?,"It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ?"
"It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ?",January 5th .
January 5th .,"Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers !"
"Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers !","t feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense ."
"Frank ’ s getting married , do you believe this ?",Is he really ?
Is he really ?,"Yes , he is . He loves the girl very much ."
"Yes , he is . He loves the girl very much .",Who is he marring ?
Who is he marring ?,"A girl he met on holiday in Spain , I think ."
"A girl he met on holiday in Spain , I think .",Have they set a date for the wedding ?
Have they set a date for the wedding ?,Not yet .
I hear you bought a new house in the northern suburbs .,"That ’ s right , we bought it the same day we came on the market ."
"That ’ s right , we bought it the same day we came on the market .",What kind of house is it ?
What kind of house is it ?,It ’ s a wonderful Spanish style .
It ’ s a wonderful Spanish style .,"Oh , I love the roof tiles on Spanish style houses ."
"Oh , I love the roof tiles on Spanish style houses .",And it ’ s a bargaining . A house like this in river side costs double the price .
And it ’ s a bargaining . A house like this in river side costs double the price .,"Great , is it a two bedroom house ?"
"Great , is it a two bedroom house ?","No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage ."
"No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage .",That ’ s a nice area too . It ’ ll be a good investment for you .
That ’ s a nice area too . It ’ ll be a good investment for you .,"Yeas , when will you buy a house ?"
"Yeas , when will you buy a house ?","Not untill the end of this year , you know , just before my wedding ."
"Not untill the end of this year , you know , just before my wedding .","Right , congratulations ."
"Right , congratulations .",Thank you .
s around .,"Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There"
"Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There",t see that happening . I know you
t see that happening . I know you,"s not just that . She also criticizes how we raise the kids . 
  My mother-in-law used to do the same thing to us . If it wasn"
"s not just that . She also criticizes how we raise the kids . 
  My mother-in-law used to do the same thing to us . If it wasn",You said she used to ? How did you stop her ?
You said she used to ? How did you stop her ?,"d let us do our things . She understood , and now everything is a lot more peaceful . 
  That sounds like a good idea . I"
"s new programmers working out ? 
  I hate to admit it , but they","ll make the Stars.com deadline , and have us up and running next week ? 
  It"
"ll make the Stars.com deadline , and have us up and running next week ? 
  It","ll make it . 
  Good . After Stars.com starts paying us , we won"
"ll make it . 
  Good . After Stars.com starts paying us , we won","s cash anymore . 
  And if we don"
Do you like cooking ?,Yes . I like cooking very much . I got this hobby when I was 12 years sold .
Yes . I like cooking very much . I got this hobby when I was 12 years sold .,Why do you like it ?
Why do you like it ?,I have no idea . I like cooking by myself . I like to taste delicious food .
I have no idea . I like cooking by myself . I like to taste delicious food .,s wonderful !
s wonderful !,Really ? I hope I can have a chance to taste it . Don
Really ? I hope I can have a chance to taste it . Don,Certainly .
Anyone home ? Jen !,"m in the kitchen ... let yourself in ! 
  Wow ! You"
